Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
“premium price for a sub-par product”,26th May 2024,Couple Leisure,Business Class,London Heathrow to Hong Kong,May 2024,2.0,3.0,2.0,1,0
"""can't even choose my own seat""",20th May 2024,Solo Leisure,Economy Class,Boston to London,May 2024,,,1.0,3,0
“Very impressed with BA”,18th May 2024,Couple Leisure,Economy Class,New York to Manchester via London,May 2024,4.0,5.0,4.0,4,1
"""appalling customer service""",14th May 2024,Family Leisure,Business Class,London to San Francisco,August 2023,2.0,5.0,5.0,2,0
"""baggage customer service is a joke""",8th May 2024,Couple Leisure,Economy Class,Malaga to Boston via London,May 2024,2.0,2.0,1.0,2,0
"""Worst business class ever""",8th May 2024,Couple Leisure,Business Class,Milan Linate to Miami via London Heathrow,April 2024,1.0,2.0,2.0,1,0
"""replicating the likes of Ryanair""",7th May 2024,Couple Leisure,Economy Class,Catania to Gatwick,May 2024,2.0,1.0,3.0,1,0
"""declined to offer compensation""",5th May 2024,Solo Leisure,Economy Class,London to Hannover,April 2024,3.0,3.0,1.0,1,0
"""onboard like discount carriers""",1st May 2024,Solo Leisure,Economy Class,Manchester to Copenhagen via London,April 2024,3.0,3.0,4.0,4,1
"""Never using them again""",30th April 2024,Solo Leisure,Economy Class,London to Valencia,April 2024,1.0,1.0,1.0,1,0
"""undiscerning and insincere compensation""",27th April 2024,Business,Economy Class,Singapore to London,April 2024,3.0,3.0,1.0,1,0
"""mock and insult your passengers""",25th April 2024,Business,Economy Class,Madrid to London Heathrow,April 2024,3.0,1.0,2.0,1,0
"""lost my luggage on both flights""",22nd April 2024,Solo Leisure,Economy Class,Austin to London Heathrow,April 2024,3.0,2.0,1.0,1,0
"""the worst experience""",20th April 2024,Couple Leisure,Premium Economy,Zurich to Phoenix via Heathrow,February 2024,2.0,1.0,1.0,1,0
"""The flights were okay""",12th April 2024,Couple Leisure,Economy Class,Rotterdam to London City,March 2024,3.0,3.0,3.0,2,0
“entire experience has been stressful”,10th April 2024,Solo Leisure,Premium Economy,Kansas City to Dublin via Heathrow,April 2024,2.0,3.0,3.0,1,0
"""whole experience was awful""",10th April 2024,Family Leisure,Economy Class,Tenerife to London,January 2024,,,1.0,1,0
“This is true service”,7th April 2024,Business,Business Class,Lisbon to San Diego,March 2024,3.0,4.0,5.0,4,1
"""Flight attendants welcoming""",3rd April 2024,Business,Business Class,London Heathrow to Mumbai,March 2024,3.0,5.0,4.0,3,1
"""the service was appalling""",2nd April 2024,Couple Leisure,Business Class,Doha to London Heathrow,March 2024,3.0,1.0,2.0,1,0
"""service was slow and unfriendly""",2nd April 2024,Couple Leisure,Business Class,Doha to London Heathrow,March 2024,5.0,1.0,5.0,3,0
"""a really lovely flight""",28th March 2024,Solo Leisure,Business Class,London Heathrow to São Paulo,March 2024,4.0,4.0,4.0,4,1
"""travelling with British Airways so stressful""",28th March 2024,Couple Leisure,Economy Class,London Heathrow to Nice,March 2024,4.0,3.0,2.0,1,0
“didn't find the crew particularly welcoming”,26th March 2024,Business,Business Class,London to Tokyo,March 2024,5.0,2.0,3.0,4,1
"""I would say disappointing""",26th March 2024,Business,Economy Class,Lisbon to London,March 2024,4.0,3.0,1.0,3,1
"""Exceptional flight""",25th March 2024,Couple Leisure,Business Class,London to Delhi,February 2024,5.0,5.0,5.0,5,1
"""Cabin crew attentive and bubbly""",25th March 2024,Couple Leisure,Economy Class,London to Milan,March 2024,5.0,5.0,4.0,5,1
“a terrible and unnecessary experience”,25th March 2024,Couple Leisure,Economy Class,Madrid to London Heathrow,March 2024,3.0,3.0,3.0,2,0
"""stick to their cabin bag size limit""",21st March 2024,Solo Leisure,Economy Class,London Heathrow to Toulouse,March 2024,4.0,4.0,3.0,3,1
"""crew were attentive, friendly""",21st March 2024,Family Leisure,Economy Class,Montreal to Venice via London Heathrow,March 2024,4.0,5.0,3.0,4,1
"""Utterly outrageous""",19th March 2024,Business,Business Class,Paphos to London,March 2024,2.0,1.0,1.0,1,0
"""They have a long way to go""",19th March 2024,Business,Business Class,London to Houston,March 2024,1.0,3.0,1.0,1,0
"""FA's were friendly""",14th March 2024,Solo Leisure,Business Class,London Heathrow to Brussels,March 2024,2.0,4.0,3.0,3,1
"""Far from pleasant experience""",14th March 2024,Solo Leisure,Business Class,Barbados to London heathrow,March 2024,3.0,3.0,1.0,2,0
"""cancelled our return flight""",12th March 2024,Family Leisure,Economy Class,Toronto to Mumbai via London,February 2024,2.0,1.0,1.0,1,0
"""KLM is definitely a league over BA""",11th March 2024,Family Leisure,Economy Class,Copenhagen to Port of Spain via London,February 2024,3.0,4.0,2.0,5,1
"""Service extremely inattentive""",10th March 2024,Solo Leisure,First Class,Los Angeles to London,March 2024,2.0,1.0,3.0,1,0
"""worst business class experience""",5th March 2024,Business,Business Class,Singapore to Sydney,March 2024,1.0,1.0,3.0,2,0
"""it's truly awful for short-haul""",4th March 2024,Business,Business Class,Cyprus to London,February 2024,1.0,3.0,3.0,1,0
"""never be flying with BA again""",4th March 2024,Solo Leisure,Economy Class,Singapore to Auckland via Sydney,March 2024,2.0,3.0,1.0,1,0
"""it was extremely underwhelming""",4th March 2024,Couple Leisure,Business Class,London Heathrow to Mexico City,March 2024,2.0,2.0,2.0,1,0
"""an excellent experience""",2nd March 2024,Solo Leisure,Business Class,Heathrow to Oslo,February 2024,4.0,5.0,5.0,5,1
"""they refused to fly me back!",1st March 2024,Solo Leisure,Economy Class,Sydney to Porto via Singapore / London,June 2023,,,,1,0
"""Poor from start to finish""",29th February 2024,Couple Leisure,Economy Class,London Heathrow to Lisbon,February 2024,1.0,3.0,2.0,3,0
“customer service non existent”,29th February 2024,Solo Leisure,Premium Economy,Madrid to London via Buenos Aires,February 2024,1.0,3.0,1.0,1,0
"""no better than the worst of the low cost""",23rd February 2024,Couple Leisure,Economy Class,Pisa to London Heathrow,September 2023,,,,1,0
"""could not have been better""",21st February 2024,Couple Leisure,Business Class,Malaga to London Heathrow,February 2024,5.0,5.0,4.0,4,1
"""Never again""",17th February 2024,Couple Leisure,Economy Class,Phoenix to Lisbon via London,February 2024,1.0,5.0,1.0,1,0
"""Is this how low BA has fallen?""",17th February 2024,Solo Leisure,Economy Class,London to Istanbul,February 2024,3.0,1.0,2.0,2,0
“It was a terrible experience”,16th February 2024,Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",January 2024,3.0,5.0,4.0,2,0
"""all needs a serious rework""",11th February 2024,Solo Leisure,First Class,London to San Francisco,November 2023,1.0,4.0,4.0,1,0
"""flights they have not actually provided""",8th February 2024,Couple Leisure,Economy Class,London Heathrow to Casablanca,February 2024,,,1.0,1,0
“meticulous attention to detail”,6th February 2024,Family Leisure,Premium Economy,London Heathrow to Glasgow,January 2024,4.0,3.0,5.0,4,1
“they have ignored every communication”,5th February 2024,Couple Leisure,Economy Class,London Heathrow to Berlin,October 2023,1.0,1.0,1.0,1,0
"""fabulous cabin crew""",2nd February 2024,Couple Leisure,Business Class,London to Miami,February 2024,3.0,4.0,2.0,3,0
"""no great expectations""",30th January 2024,Solo Leisure,Business Class,Athens to London,December 2023,3.0,5.0,4.0,4,1
"""actively try and split families up""",29th January 2024,Family Leisure,Premium Economy,London Gatwick to Cancun,January 2024,4.0,4.0,1.0,4,1
"""my cabin luggage was taken""",28th January 2024,Business,Economy Class,London to Warsaw,January 2024,3.0,3.0,1.0,3,1
