Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
"""packed-like-sardines Club World product""",29th March 2022,Couple Leisure,Business Class,Cape Town to London,March 2022,2.0,1.0,3.0,2,0
"""I couldn’t check in online""",29th March 2022,Couple Leisure,Economy Class,London Heathrow to Funchal,March 2022,3.0,3.0,1.0,3,0
"""flight to Antalya in May 2022 was cancelled""",29th March 2022,Couple Leisure,Economy Class,Gatwick to Antalya,March 2022,,,,1,0
"""If I had the option I would not fly BA""",27th March 2022,Couple Leisure,Economy Class,London to Austin,March 2022,4.0,1.0,1.0,3,0
"""The food was awful""",25th March 2022,Couple Leisure,Premium Economy,Dubai to Heathrow,March 2022,3.0,2.0,4.0,2,0
"""really can’t believe they have the audacity to call this First Class""",19th March 2022,Solo Leisure,First Class,Singapore to London,March 2022,5.0,1.0,2.0,2,0
"""overall very medium experience""",18th March 2022,Family Leisure,Economy Class,Dublin to Dubai via London,March 2022,3.0,4.0,3.0,3,0
"""Ryanair has more finesse""",17th March 2022,Couple Leisure,Economy Class,London Heathrow to Cairo,February 2022,1.0,3.0,1.0,1,0
"""never use BA again for a long haul flight""",16th March 2022,Couple Leisure,Premium Economy,Male to London,March 2022,4.0,2.0,4.0,3,0
"""can't be reached on the phone""",11th March 2022,Business,Economy Class,Copenhagen to London,March 2022,2.0,2.0,1.0,1,0
"""downgraded at airport check in""",11th March 2022,Family Leisure,Premium Economy,New York to London,March 2022,1.0,3.0,1.0,1,0
"""Absolutely shambolic customer service""",6th March 2022,Business,Business Class,London Heathrow to Sofia,August 2021,3.0,5.0,1.0,2,0
"""worst customer service""",6th March 2022,Family Leisure,Economy Class,Athens to Boston via London,October 2021,2.0,3.0,1.0,1,0
"""First time using BA premium and likely my last""",5th March 2022,Solo Leisure,Premium Economy,Cape Town to Glasgow via London,February 2022,3.0,3.0,2.0,3,1
"""the most shambolic customer support""",4th March 2022,Business,Business Class,Bangalore to London,March 2022,3.0,4.0,2.0,1,0
"""smacks of continued cost-cutting""",3rd March 2022,Couple Leisure,Business Class,London to Cape Town,March 2022,3.0,3.0,3.0,3,0
"""continues to go downhill""",2nd March 2022,Couple Leisure,Business Class,Lisbon to London,February 2022,1.0,3.0,3.0,1,0
"""this flight was excellent""",28th February 2022,Solo Leisure,Premium Economy,Vancouver to London,February 2022,4.0,5.0,4.0,5,1
"""scrapped the mandatory wearing of face masks""",26th February 2022,Business,Business Class,London to Malaga,February 2022,3.0,3.0,3.0,2,0
"""got it all wrong with 6 hours delay""",21st February 2022,Business,Economy Class,London to Athens,February 2022,2.0,3.0,1.0,1,0
"""could not rebook via BA’s website""",20th February 2022,Solo Leisure,Economy Class,London to Edinburgh,February 2022,,,1.0,1,0
"""T5 arrivals lounge was excellent""",19th February 2022,Family Leisure,Business Class,Washington to London,February 2022,4.0,5.0,5.0,4,1
"""minimal leg room in economy""",18th February 2022,Couple Leisure,Economy Class,Accra to London,January 2022,1.0,2.0,1.0,1,0
"""very disengaged management model""",13th February 2022,Business,Business Class,Dublin to London,February 2022,,,,1,0
"""BA got everything right""",13th February 2022,Family Leisure,Business Class,London to Washington,February 2022,4.0,5.0,5.0,4,1
"""Appalling customer service""",11th February 2022,Family Leisure,Business Class,London to Porto,February 2022,,,,1,0
"""cabin crews remain the best in the business""",8th February 2022,Solo Leisure,Business Class,Washington to London,December 2021,5.0,5.0,4.0,5,1
"""such a nice employee""",8th February 2022,Couple Leisure,Economy Class,Montréal to Dubai via London,February 2022,,,,4,1
"""think that BA are getting their mojo back again""",1st February 2022,Couple Leisure,Business Class,Atlanta to Belfast via Heathrow,January 2022,4.0,5.0,5.0,5,1
"""Performance of the flight deck was up to its usual high standard""",25th January 2022,Couple Leisure,Business Class,Cape Town to London Heathrow,January 2022,3.0,4.0,3.0,3,1
"""BA has a lot to do to regain its standing""",25th January 2022,Couple Leisure,Business Class,London Heathrow to Orlando,January 2022,2.0,4.0,3.0,3,0
"""Utterly appalling company""",19th January 2022,Couple Leisure,Economy Class,London Heathrow to Dubai,January 2022,2.0,1.0,1.0,1,0
"""I said I wanted 20-25% back off my holiday""",12th January 2022,Solo Leisure,Economy Class,New York to Newcastle via London,November 2021,3.0,4.0,1.0,4,0
"""return trip was disappointing""",12th January 2022,Couple Leisure,Business Class,Cape Town to Durban,January 2022,3.0,2.0,4.0,3,1
"""staff was very kind and friendly""",10th January 2022,Solo Leisure,Economy Class,Durban to Cape Town,January 2022,5.0,5.0,5.0,5,1
"""complete disregard for your passengers""",9th January 2022,Solo Leisure,Business Class,Bangalore to Detroit via London,January 2022,4.0,2.0,1.0,1,0
"""decline into a sub-par service""",9th January 2022,Business,Economy Class,New York to London,January 2022,1.0,1.0,1.0,2,0
"""very basic generic airline""",9th January 2022,Business,Economy Class,Las Vegas to London,January 2022,1.0,4.0,1.0,1,0
"""doors cannot close till take off""",7th January 2022,Couple Leisure,Business Class,London to Dubai,October 2021,2.0,1.0,1.0,1,0
"""sort ground service at Warsaw Airport""",6th January 2022,Family Leisure,Economy Class,Warsaw to London,December 2021,2.0,4.0,1.0,2,0
"""a pretty poor show by BA""",6th January 2022,Business,Business Class,Glasgow to London Heathrow,December 2021,2.0,1.0,2.0,1,0
"""seats are a huge improvement""",2nd January 2022,Couple Leisure,Business Class,London to Cape Town,December 2021,3.0,3.0,4.0,3,1
"""they've yet to respond""",30th December 2021,Solo Leisure,Premium Economy,London to Tampa,November 2021,1.0,1.0,1.0,1,0
"""Very nice return flight with BA""",29th December 2021,Solo Leisure,Business Class,Edinburgh to London,December 2021,4.0,5.0,5.0,4,1
"""Overall a very lovely flight""",28th December 2021,Solo Leisure,Business Class,London to Edinburgh,December 2021,4.0,5.0,3.0,4,1
"""the legroom was appalling""",27th December 2021,Family Leisure,Economy Class,London Heathrow to Los Angeles,December 2021,1.0,4.0,2.0,1,0
"""friendly and keen to please""",27th December 2021,Business,Economy Class,London to St Lucia,December 2021,5.0,5.0,5.0,5,1
"""Food and drinks choices and tastes amazing""",24th December 2021,Couple Leisure,First Class,London to Chicago,November 2021,4.0,5.0,4.0,4,1
"""BA hang your head in shame""",23rd December 2021,Solo Leisure,Business Class,London to Istanbul,December 2021,1.0,2.0,1.0,2,0
"""just used the new Club World""",20th December 2021,Couple Leisure,Business Class,Dubai to London Heaathrow,December 2021,4.0,2.0,1.0,4,1
"""waited for my bags for 3 hours""",19th December 2021,Solo Leisure,Economy Class,London to Aberdeen,December 2021,,,1.0,1,0
"""certainly make us avoid BA in future""",16th December 2021,Couple Leisure,Business Class,London Gatwick to Cancun,December 2021,1.0,5.0,5.0,3,0
"""I am still waiting for an answer""",12th December 2021,Business,Business Class,Kingston to London,August 2021,1.0,2.0,2.0,1,0
"""BA did nothing to ease the process""",8th December 2021,Family Leisure,Business Class,London to Delhi,January 2021,1.0,1.0,1.0,1,0
"""I don't even get an apology""",6th December 2021,Solo Leisure,Economy Class,Washington DC to Moscow via London,December 2021,1.0,1.0,1.0,1,0
"""whole experience was stressful, costly""",2nd December 2021,Solo Leisure,Economy Class,Singapore to London,July 2021,3.0,4.0,1.0,1,0
"""British Airways had rebooked with Delta""",29th November 2021,Family Leisure,Economy Class,Cairo to Portland via London / Seattle,November 2021,,,1.0,1,0
"""British Airways happy to encourage the spread of Covid""",27th November 2021,Business,Business Class,London Heathrow to Paris CDG,November 2021,3.0,4.0,1.0,3,0
"""was refused an early check in""",25th November 2021,Business,Business Class,Manchester to London Heathrow,November 2021,1.0,,1.0,2,0
"""The crew failed to work as a team""",25th November 2021,Solo Leisure,Business Class,London to Tenerife,November 2021,3.0,2.0,4.0,2,0
"""an OK experience with a great cabin crew""",24th November 2021,Solo Leisure,Business Class,Tenerife to London,November 2021,4.0,5.0,4.0,4,1
"""Crew good, seats very uncomfortable""",20th November 2021,Solo Leisure,Economy Class,Stockholm to London Heathrow,November 2021,1.0,5.0,1.0,2,0
"""my booked seat is not available""",19th November 2021,Business,Economy Class,Frankfurt to London,November 2021,,,1.0,1,0
"""penny pinching by BA in club class""",15th November 2021,Couple Leisure,Business Class,London Heathrow to Tenerife South,November 2021,3.0,3.0,2.0,1,0
"""only just about recommend""",15th November 2021,Couple Leisure,Business Class,Heathrow to Tenerife South,November 2021,2.0,5.0,3.0,3,1
"""They are so unorganized and slow!""",14th November 2021,Solo Leisure,Economy Class,London to Chicago,November 2021,1.0,2.0,1.0,1,0
"""Customer service is non existent""",13th November 2021,Solo Leisure,Economy Class,London to Mexico,October 2021,2.0,3.0,2.0,2,0
"""their customer service is a shambles""",13th November 2021,Couple Leisure,Economy Class,Manchester to Nassau via London,October 2021,2.0,2.0,1.0,1,0
"""Poorly mismanaged services""",10th November 2021,Family Leisure,Economy Class,Mumbai to Dublin via London,November 2021,3.0,2.0,2.0,3,0
"""Their customer service is a shambles""",7th November 2021,Solo Leisure,Premium Economy,Gibraltar to London,November 2021,4.0,4.0,1.0,3,0
"""Good professional crew""",6th November 2021,Business,Economy Class,Belfast to London,November 2021,4.0,5.0,4.0,4,1
"""Not dreadful but something for BA to think about""",31st October 2021,Family Leisure,Business Class,Larnaca to London Heathrow,October 2021,2.0,4.0,3.0,3,1
"""could not have asked for better service""",29th October 2021,Couple Leisure,Business Class,Lisbon to London Heathrow,September 2021,4.0,4.0,5.0,4,1
"""BA at its best""",29th October 2021,Couple Leisure,Premium Economy,Madrid to London,October 2021,4.0,5.0,3.0,5,1
"""boarding was chaos""",25th October 2021,Family Leisure,Economy Class,London to Bologna,October 2021,5.0,5.0,2.0,4,1
"""This time it was good value""",24th October 2021,Business,Economy Class,London to Alicante,October 2021,1.0,4.0,4.0,5,1
"""nothing bad about food but nothing great either""",23rd October 2021,Family Leisure,Business Class,London to Larnaca,October 2021,3.0,5.0,4.0,4,1
"""Who’d have thought BA could ever make Ryanair look like an attractive option""",21st October 2021,Business,Economy Class,Prague to London,October 2021,4.0,5.0,1.0,1,0
"""it was an absolute delight""",20th October 2021,Couple Leisure,Economy Class,Male to London,October 2021,5.0,5.0,5.0,5,1
"""plane was clean and air quality very good""",19th October 2021,Solo Leisure,Premium Economy,London to Toronto,October 2021,3.0,3.0,4.0,4,1
"""Overall a very enjoyable flight""",18th October 2021,Business,Business Class,London to Toronto,October 2021,5.0,5.0,5.0,5,1
"""a clear case of BA mis-selling""",16th October 2021,Solo Leisure,Business Class,London Heathrow to Athens Greece,September 2021,2.0,4.0,4.0,1,0
"""voucher is valid for another two years""",14th October 2021,Solo Leisure,Economy Class,London to Cayman Islands,November 2020,,,,1,0
"""Check-in was longer than normal""",7th October 2021,Family Leisure,Economy Class,London to Prague,October 2021,1.0,1.0,1.0,2,0
"""Drinks and meal service was efficient""",7th October 2021,Couple Leisure,Business Class,Larnaca to London Heathrow,October 2021,3.0,4.0,4.0,4,1
"""no response to my emails/messages""",6th October 2021,Couple Leisure,Economy Class,Heathrow to Manchester,August 2021,,,1.0,1,0
"""crew were so unorganised""",5th October 2021,Business,Business Class,London to Jersey,September 2021,2.0,1.0,1.0,1,0
"""impressed with their customer service""",4th October 2021,Solo Leisure,Premium Economy,Denver to London,October 2021,5.0,5.0,5.0,5,1
"""ordinary BA domestic flight""",3rd October 2021,Business,Economy Class,Belfast to London,September 2021,4.0,3.0,4.0,5,1
"""our national flag carrier is being comfortably out performed by budget airlines""",2nd October 2021,Couple Leisure,Economy Class,Manchester to Aberdeen via Heathrow,August 2021,1.0,1.0,1.0,1,0
"""got to the hotel and no dinner for us""",1st October 2021,Couple Leisure,Business Class,London Heathrow to Tenerife south,September 2021,3.0,1.0,1.0,1,0
"""Such indifference and lackadaisical attitude""",26th September 2021,Business,Business Class,London to New York,September 2021,3.0,1.0,3.0,4,0
"""Post-COVID lunch remains restricted""",22nd September 2021,Couple Leisure,Business Class,London Heathrow to Larnaca,September 2021,3.0,3.0,3.0,3,1
"""in the air great service""",21st September 2021,Family Leisure,Business Class,London to Lisbon,September 2021,3.0,5.0,3.0,4,1
"""No check in staff for Economy""",21st September 2021,Solo Leisure,Economy Class,Frankfurt to London,September 2021,4.0,4.0,1.0,1,0
"""No refund for flights cancelled""",13th September 2021,Business,Economy Class,Geneva to Sao Paulo via London,October 2020,,,,1,0
"""I wasn't allocated a seat""",11th September 2021,Family Leisure,Economy Class,Abuja to London,September 2021,,,1.0,3,0
"""stupidity of this whole situation""",9th September 2021,Business,Business Class,Mykonos to New York via London,August 2021,,,,1,0
"""lost the connecting flight to Tirana""",8th September 2021,Solo Leisure,Economy Class,Boston to Tirana London,September 2021,2.0,3.0,1.0,3,0
"""service on the same route is becoming worse""",7th September 2021,Couple Leisure,Economy Class,Washington Dulles to London,August 2021,1.0,1.0,1.0,1,0
"""cancellation two weeks before I was due to travel""",27th August 2021,Business,Economy Class,Gatwick to Catania,August 2021,,,,1,0
"""the most comfortable seats""",26th August 2021,Solo Leisure,Economy Class,London to Moscow Domodedovo,August 2021,5.0,4.0,3.0,2,1
"""value for money here is incredible""",22nd August 2021,Solo Leisure,Economy Class,London to Athens,August 2021,4.0,5.0,5.0,5,1
"""Food and drinks fine""",19th August 2021,Family Leisure,Economy Class,London to Corfu,August 2021,4.0,5.0,4.0,4,1
"""frustrated, upset and disappointed""",17th August 2021,Family Leisure,Business Class,Moscow to London Heathrow,August 2021,4.0,1.0,1.0,1,0
"""piled into the bus and left""",11th August 2021,Business,Business Class,London Heathrow to Munich,August 2021,3.0,2.0,1.0,2,0
"""On board staff were good""",8th August 2021,Couple Leisure,Business Class,London Heathrow to Nice,July 2021,3.0,4.0,3.0,3,0
"""cancelled a flight booked three months ago """,27th July 2021,Family Leisure,Economy Class,London to Hong Kong,April 2021,,,,1,0
"""decided to avoid BA from now on""",22nd July 2021,Solo Leisure,Premium Economy,Belfast to Budapest via Heathrow,July 2021,1.0,1.0,1.0,1,0
"""very slick on board experience""",20th July 2021,Family Leisure,Business Class,Cancun to Gatwick,July 2021,4.0,5.0,4.0,4,1
"""Not complete return to old days""",13th July 2021,Family Leisure,Business Class,Gatwick to Cancun,July 2021,5.0,5.0,4.0,5,1
"""no refund issued yet""",9th July 2021,Family Leisure,Economy Class,,July 2021,,,,1,0
"""asking for upgrades to a best seat""",7th July 2021,Family Leisure,Economy Class,Bucharest to Toronto via London,July 2021,3.0,3.0,1.0,2,0
"""didn't allow us to seat together""",27th June 2021,Business,Business Class,Seattle to Bangalore via London,June 2021,3.0,4.0,3.0,3,1
"""uncomfortable, miserly experience """,22nd June 2021,Solo Leisure,Business Class,London to Mexico City,June 2021,1.0,2.0,3.0,1,0
"""Service was a little perfunctory""",13th June 2021,Couple Leisure,Business Class,Preveza to London,June 2021,4.0,3.0,5.0,4,1
"""I am really grateful""",7th June 2021,Solo Leisure,Economy Class,London to Accra,June 2021,4.0,4.0,4.0,4,1
"""a thoroughly reassuring, coming out of COVID, experience""",30th May 2021,Couple Leisure,Business Class,London Heathrow to Preveza,May 2021,4.0,4.0,5.0,4,1
"""going in circles to avoid issuing any voucher""",26th May 2021,Family Leisure,Economy Class,Durban to Cape Town,January 2021,3.0,3.0,3.0,1,0
"""Fantastic flight down to Heathrow""",15th May 2021,Solo Leisure,Economy Class,Aberdeen to London Heathrow,May 2021,4.0,5.0,4.0,4,1
"""appreciated the COVID measures""",24th April 2021,Business,Business Class,Malaga to London,April 2021,3.0,3.0,4.0,4,1
"""COVID protocols are not as robust as they should be""",7th April 2021,Solo Leisure,Economy Class,Johannesburg to Cape Town,April 2021,4.0,5.0,5.0,4,1
"""I would need to call up to rebook""",1st April 2021,Solo Leisure,Economy Class,Gatwick to Cancun,December 2020,2.0,4.0,3.0,1,0
"""had my flight cancelled on 3 occasions""",14th March 2021,Couple Leisure,Economy Class,Bridgetown to London,February 2021,1.0,1.0,1.0,1,0
"""A poor show with BA""",21st February 2021,Family Leisure,Economy Class,Ottawa to Ahmedabad,November 2020,1.0,1.0,1.0,1,0
"""promised to give me compensation""",20th February 2021,Solo Leisure,Economy Class,Antigua to London,January 2021,2.0,2.0,1.0,1,0
"""Do not recommend to anyone in Covid restrictions""",10th February 2021,Solo Leisure,Economy Class,Sofia to London Heathrow,December 2020,5.0,5.0,5.0,3,0
"""She was an amazing person""",4th February 2021,Solo Leisure,Economy Class,Mumbai to London,February 2021,5.0,5.0,4.0,5,1
"""not what you'd expect from a premium product""",21st January 2021,Business,First Class,Mexico City to London Heathrow,January 2021,2.0,5.0,3.0,3,0
"""Absolutely disgraceful""",30th December 2020,Family Leisure,Economy Class,London to Maldives,December 2020,,,,1,0
"""Good service the whole way""",27th December 2020,Solo Leisure,Economy Class,Heathrow to Belfast,December 2020,5.0,4.0,5.0,3,1
British Airways customer review,26th December 2020,Solo Leisure,Economy Class,London to Paris,September 2020,5.0,5.0,5.0,5,1
"""I do want to thank BA""",25th December 2020,Solo Leisure,Economy Class,London to Cairo,December 2020,5.0,5.0,5.0,4,1
"""passengers with masks below nose""",9th December 2020,Solo Leisure,Premium Economy,London Heathrow to Dubai,July 2020,4.0,1.0,5.0,5,0
"""happy with product and would use again""",7th December 2020,Solo Leisure,Business Class,London to Tenerife,December 2020,3.0,5.0,4.0,4,1
"""It's not at all child friendly""",2nd December 2020,Family Leisure,Economy Class,London Heathrow to Lahore,December 2020,1.0,1.0,1.0,1,0
"""my experience with BA was very positive""",22nd October 2020,Solo Leisure,Economy Class,London to Venice,October 2020,5.0,4.0,3.0,5,1
"""refunded my tickets within 2 working days""",22nd October 2020,Couple Leisure,Economy Class,Munich to London,November 2019,5.0,5.0,5.0,5,1
"""Everything was nice except food""",5th October 2020,Family Leisure,Economy Class,London to Bangalore,October 2020,5.0,5.0,5.0,2,0
"""Everything I expected""",23rd September 2020,Solo Leisure,Business Class,Warsaw to London-Heathrow,September 2020,5.0,5.0,4.0,5,1
"""told that the check-in had closed""",18th September 2020,Couple Leisure,Economy Class,London to Santorini,August 2020,4.0,4.0,1.0,2,0
"""I filed a claim""",27th August 2020,Couple Leisure,Economy Class,London to Paris,February 2020,2.0,3.0,5.0,1,0
"""lack of social distancing""",8th August 2020,Business,Economy Class,Berlin to London,August 2020,1.0,1.0,2.0,2,0
"""I was pleasantly surprised""",1st August 2020,Solo Leisure,Economy Class,Newcastle to London Heathrow,July 2020,5.0,5.0,5.0,5,1
"""have to call to redeem the voucher""",31st July 2020,Solo Leisure,Premium Economy,London to Singapore,March 2020,,,,1,0
"""Service is non-existent""",23rd July 2020,Family Leisure,Economy Class,Austin to London,July 2020,,,,1,0
"""BA has failed completely""",23rd July 2020,Solo Leisure,Economy Class,London to Frankfurt,April 2020,,,,1,0
"""This is appalling business practice!""",11th June 2020,Business,Economy Class,London Heathrow to Lyon,February 2020,1.0,1.0,1.0,1,0
"""efficient, clean and punctual""",8th June 2020,Business,Economy Class,London City to Edinburgh,November 2019,3.0,4.0,5.0,3,1
""" Total rip off""",6th June 2020,Business,First Class,San Francisco to Edinburgh via London,May 2020,,,,1,0
"""totally ripped off by BA""",4th June 2020,Business,Business Class,Rome to Los Angeles via London,June 2020,,,,1,0
"""tickets should have been refunded""",29th May 2020,Couple Leisure,Economy Class,Chicago to Seville via Miami / Madrid,March 2020,,,,1,0
"""unable to offer a full refund""",18th May 2020,Solo Leisure,Premium Economy,London to Tel Aviv,April 2020,,,,1,0
"""no refund or voucher""",12th May 2020,Couple Leisure,Business Class,San Diego to Barcelona via London,December 2019,,,,1,0
"""withholding my money""",10th May 2020,Solo Leisure,Economy Class,Toronto to London,May 2020,,,,1,0
"""all about money with them""",1st May 2020,Family Leisure,Premium Economy,Tokyo to London,March 2020,3.0,2.0,2.0,1,0
"""arrived 3 hrs 25 mins late""",29th April 2020,Couple Leisure,Economy Class,Los Angeles to Paris via London,March 2020,3.0,3.0,5.0,1,0
"""it definitely lived up to my expectations""",28th April 2020,Couple Leisure,Business Class,London Heathrow to Toronto,February 2020,5.0,5.0,5.0,5,1
"""cabin crew were friendly and professional""",27th April 2020,Couple Leisure,Business Class,Las Vegas to London Heathrow,February 2020,5.0,5.0,5.0,5,1
"""never use this airline again""",27th April 2020,Solo Leisure,Economy Class,Sydney to London via Singapore,March 2020,1.0,1.0,1.0,1,0
"""avoid BA as much as possible""",25th April 2020,Business,Economy Class,Zurich to London,April 2020,,,,1,0
"""trying every trick in the book""",19th April 2020,Couple Leisure,Business Class,Vienna to London,February 2020,3.0,3.0,3.0,1,0
"""stands out in many areas""",19th April 2020,Solo Leisure,Economy Class,London-Heathrow to Warsaw,March 2020,5.0,5.0,4.0,3,1
"""laptop was left inside the flight""",11th April 2020,Business,Economy Class,Johannesburg to London,March 2020,2.0,3.0,1.0,2,0
"""worst sort of management bureaucracy""",4th April 2020,Business,Economy Class,London to Stockholm,April 2020,,,1.0,1,0
"""poor customer service""",2nd April 2020,Solo Leisure,Economy Class,London to Budapest,March 2020,,,,1,0
"""lies and lack of informatio""",2nd April 2020,Solo Leisure,Business Class,Nashville to London via Chicago,March 2020,3.0,5.0,3.0,1,0
"""understand the turmoil caused by Covid-19""",1st April 2020,Solo Leisure,Economy Class,Vancouver to London,March 2020,,,1.0,1,0
"""A voucher is not sufficient""",31st March 2020,Family Leisure,Economy Class,London to Marrakesh,August 2019,,,,1,0
"""use the travel credit by May 2020""",23rd March 2020,Couple Leisure,Economy Class,Seattle to Heathrow,March 2020,,,,5,0
"""thank our crew in particular""",22nd March 2020,Couple Leisure,Premium Economy,Mumbai to London Heathrow,March 2020,5.0,5.0,5.0,5,1
"""such deceitful practices""",18th March 2020,Business,Economy Class,London to Valencia,March 2020,,,,1,0
"""not surprised they are in trouble""",17th March 2020,Couple Leisure,Economy Class,London Gatwick to Funchal,March 2020,1.0,4.0,1.0,1,0
"""narrow business class facing seats""",17th March 2020,Business,Business Class,Chicago to London Heathrow,March 2020,1.0,1.0,1.0,1,0
"""airline needs major overhaul""",17th March 2020,Business,Business Class,London to New York JFK,February 2020,1.0,1.0,1.0,1,0
"""still forcing people to fly to Madrid""",16th March 2020,Solo Leisure,Economy Class,London to Madrid,March 2020,,,,1,0
"""unfriendly and inconsiderate to me""",14th March 2020,Business,Economy Class,Frankfurt to Buenos Aires via London,October 2019,2.0,3.0,1.0,1,0
"""live in a conceited bubble""",13th March 2020,Business,Business Class,London to Paris CDG,March 2020,,,,1,0
"""rude staff and service""",9th March 2020,Couple Leisure,Economy Class,London City to Berlin,March 2020,,,1.0,1,0
"""BA has really upped their game""",8th March 2020,Solo Leisure,Economy Class,London to Beijing,January 2020,3.0,5.0,4.0,4,1
"""friendly and helpful""",6th March 2020,Family Leisure,Economy Class,Hong Kong to London,January 2020,5.0,5.0,5.0,5,1
"""Very happy with the service""",5th March 2020,Couple Leisure,Economy Class,Mumbai to London,March 2020,4.0,5.0,5.0,5,1
"""positive, friendly attitude""",5th March 2020,Couple Leisure,Economy Class,London to Delhi,February 2020,4.0,5.0,2.0,4,1
"""flights to Italy for March, all cancelled""",3rd March 2020,Business,Business Class,Paris to London,February 2020,1.0,4.0,1.0,1,0
"""never use British Airways again""",3rd March 2020,Solo Leisure,Economy Class,Singapore to London,February 2020,3.0,3.0,1.0,1,0
"""Food and drinks are expensive""",28th February 2020,Solo Leisure,Economy Class,Gatwick to Malaga,February 2020,2.0,3.0,3.0,3,0
"""the crew were outstanding""",28th February 2020,Solo Leisure,Premium Economy,Vancouver to London,February 2020,4.0,5.0,4.0,5,1
British Airways customer review,27th February 2020,Business,Business Class,London to Seattle,February 2020,,,,1,0
"""food is the standout problem""",26th February 2020,Solo Leisure,First Class,London Heathrow to Nairobi,February 2020,3.0,5.0,2.0,3,0
"""came to me to give me his pillow""",24th February 2020,Couple Leisure,Premium Economy,Dubai to London,February 2020,1.0,1.0,1.0,1,0
"""service that needs training""",23rd February 2020,Couple Leisure,Business Class,London to Cape Town,February 2020,4.0,2.0,3.0,3,0
"""packed out seating""",21st February 2020,Solo Leisure,Economy Class,Rio de Janeiro to London,February 2020,1.0,3.0,1.0,2,0
"""require a transit visa""",15th February 2020,Solo Leisure,Economy Class,Johannesburg to Dublin via London,February 2020,1.0,1.0,1.0,1,0
"""backward facing seats""",14th February 2020,Couple Leisure,Business Class,Las Vegas to Paris via London,February 2020,1.0,4.0,4.0,1,0
"""I want a refund""",14th February 2020,Couple Leisure,Economy Class,Geneva to Gatwick,January 2020,,,1.0,1,0
"""crew was amazingly kind and lovely""",5th February 2020,Solo Leisure,Economy Class,Mexico City to Manchester via London,January 2020,5.0,5.0,5.0,4,1
"""a good experience with no major complaints""",4th February 2020,Solo Leisure,Business Class,London Heathrow to Sofia,October 2019,4.0,4.0,5.0,4,1
"""Arriving late to board""",2nd February 2020,Solo Leisure,Economy Class,Manchester to Melbourne via London / Singapore,July 2019,2.0,3.0,1.0,1,0
"""a pathetic premium cabin""",1st February 2020,Business,Business Class,Madrid to London,January 2020,2.0,3.0,3.0,2,0
"""fly this airline again""",30th January 2020,Family Leisure,Economy Class,Prague to London,January 2020,5.0,5.0,3.0,5,1
"""breakfast become rather perfunctory""",29th January 2020,Couple Leisure,Business Class,Johannesburg to London,January 2020,3.0,4.0,3.0,3,1
"""very disappointing service""",29th January 2020,Business,Business Class,Las Vegas to Gatwick,January 2020,2.0,2.0,4.0,1,0
"""roller coaster of incompetence""",28th January 2020,Business,Business Class,San Diego to Stockholm via London,January 2020,5.0,5.0,1.0,3,0
"""SLOW lounge continues to impress""",28th January 2020,Couple Leisure,Business Class,Cape Town to Johannesburg,January 2020,4.0,4.0,4.0,4,1
"""thank you for your service and kindness""",28th January 2020,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen,December 2019,5.0,5.0,5.0,5,1
"""more than acceptable service""",28th January 2020,Business,Business Class,Phoenix to London,January 2020,3.0,5.0,3.0,5,1
"""only saving grace was a superb cabin staff""",26th January 2020,Solo Leisure,Economy Class,London Heathrow to Bangkok,January 2020,2.0,4.0,4.0,2,0
"""the service was good""",25th January 2020,Solo Leisure,Economy Class,Mumbai to Boston via London,January 2020,2.0,5.0,1.0,3,1
"""refund for seat assignments""",23rd January 2020,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana",December 2019,1.0,1.0,1.0,1,0
"""still consider other airlines""",22nd January 2020,Solo Leisure,Economy Class,Toronto to Geneva via London,January 2020,4.0,5.0,4.0,3,1
"""sleeping was quite impossible""",21st January 2020,Solo Leisure,First Class,Hong Kong to London,January 2020,4.0,5.0,4.0,4,1
"""Layout of Boeing 787 cabin is poor""",20th January 2020,Business,Economy Class,San Jose to Amsterdam via London,January 2020,1.0,1.0,2.0,3,0
"""luggage was not loaded""",20th January 2020,Couple Leisure,Business Class,Singapore to Paris via London,January 2020,3.0,4.0,1.0,2,0
"""Everything went like clockwork""",20th January 2020,Solo Leisure,Economy Class,Warsaw to London,January 2020,5.0,5.0,4.0,5,1
"""I would recommend BA""",18th January 2020,Family Leisure,Economy Class,New York  to London Heathrow,January 2020,4.0,5.0,5.0,4,1
"""never fly BA again""",18th January 2020,Family Leisure,Economy Class,London to Los Angeles,December 2019,2.0,1.0,1.0,3,0
"""need to move with the times""",17th January 2020,Couple Leisure,Business Class,Johannesburg to Cape Town,January 2020,3.0,3.0,4.0,4,1
"""offer a kids free zone""",17th January 2020,Business,Business Class,London to Bangkok,January 2020,2.0,1.0,2.0,2,0
"""Overall a good flight""",16th January 2020,Couple Leisure,Business Class,London to Johannesburg,January 2020,4.0,4.0,4.0,4,1
"""a very comfortable flight""",14th January 2020,Solo Leisure,Economy Class,Boston to Mumbai via London,December 2019,2.0,5.0,1.0,5,1
"""my husbands seat was broken""",12th January 2020,Couple Leisure,Business Class,Los Angeles to London,January 2020,1.0,1.0,1.0,1,0
